time(s),ankle_angle(deg),ankle_velocity(deg/s)
0.088000,0.732297,30.052156
0.088500,0.747257,29.918455
0.089000,0.762149,29.785438
0.089500,0.776976,29.653109
0.090000,0.791737,29.521475
0.090500,0.806432,29.390540
0.091000,0.821062,29.260309
0.091500,0.835627,29.130785
0.092000,0.850128,29.001973
0.092500,0.864565,28.873873
0.093000,0.878939,28.746490
0.093500,0.893249,28.619824
0.094000,0.907495,28.493878
0.094500,0.921680,28.368652
0.095000,0.935802,28.244147
0.095500,0.949862,28.120363
0.096000,0.963861,27.997301
0.096500,0.977798,27.874961
0.097000,0.991675,27.753340
0.097500,1.005491,27.632440
0.098000,1.019247,27.512258
0.098500,1.032944,27.392793
0.099000,1.046581,27.274043
0.099500,1.060159,27.156006
0.100000,1.073678,27.038681
0.100500,1.087139,26.922065
0.101000,1.100542,26.806154
0.101500,1.113888,26.690948
0.102000,1.127176,26.576442
0.102500,1.140407,26.462633
0.103000,1.153582,26.349519
0.103500,1.166700,26.237095
0.104000,1.179763,26.125359
0.104500,1.192770,26.014307
0.105000,1.205722,25.903934
0.105500,1.218619,25.794238
0.106000,1.231462,25.685214
0.106500,1.244250,25.576857
0.107000,1.256985,25.469165
0.107500,1.269666,25.362132
0.108000,1.282294,25.255755
0.108500,1.294869,25.150028
0.109000,1.307391,25.044948
0.109500,1.319862,24.940510
0.110000,1.332280,24.836709
0.110500,1.344647,24.733542
0.111000,1.356962,24.631002
0.111500,1.369227,24.529086
0.112000,1.381441,24.427789
0.112500,1.393604,24.327107
0.113000,1.405718,24.227033
0.113500,1.417782,24.127565
0.114000,1.429796,24.028696
0.114500,1.441761,23.930423
0.115000,1.453677,23.832740
0.115500,1.465545,23.735643
0.116000,1.477365,23.639126
0.116500,1.489136,23.543186
0.117000,1.500860,23.447816
0.117500,1.512537,23.353014
0.118000,1.524166,23.258773
0.118500,1.535749,23.165089
0.119000,1.547285,23.071957
0.119500,1.558774,22.979373
0.120000,1.570218,22.887331
0.120500,1.581616,22.795828
0.121000,1.592968,22.704858
0.121500,1.604276,22.614417
0.122000,1.615538,22.524501
0.122500,1.626755,22.435104
0.123000,1.637929,22.346222
0.123500,1.649058,22.257850
0.124000,1.660143,22.169985
0.124500,1.671184,22.082621
0.125000,1.682182,21.995755
0.125500,1.693136,21.909381
0.126000,1.704048,21.823496
0.126500,1.714917,21.738094
0.127000,1.725744,21.653173
0.127500,1.736528,21.568727
0.128000,1.747271,21.484752
0.128500,1.757971,21.401244
0.129000,1.768630,21.318200
0.129500,1.779248,21.235614
0.130000,1.789825,21.153482
0.130500,1.800361,21.071802
0.131000,1.810856,20.990568
0.131500,1.821311,20.909777
0.132000,1.831726,20.829424
0.132500,1.842100,20.749507
0.133000,1.852435,20.670020
0.133500,1.862731,20.590961
0.134000,1.872987,20.512326
