0.001,0.000,0.000
0.001,328.928,437.130
0.002,371.170,392.381
0.002,404.813,357.183
0.003,431.626,329.548
0.003,453.010,307.899
0.004,470.078,290.988
0.004,483.710,277.827
0.005,494.605,267.634
0.005,503.316,259.789
0.006,510.283,253.801
0.006,515.854,249.281
0.007,520.307,245.923
0.007,523.861,243.481
0.008,526.690,241.765
0.008,528.934,240.620
0.009,530.703,239.926
0.009,532.084,239.589
0.010,533.148,239.532
0.010,533.952,239.695
0.011,534.538,240.032
0.011,534.945,240.505
0.012,535.200,241.084
0.012,535.326,241.747
0.013,535.343,242.475
0.013,535.265,243.254
0.014,535.105,244.073
0.014,534.873,244.922
0.015,534.577,245.794
0.015,534.224,246.685
0.016,533.820,247.589
0.016,533.369,248.504
0.017,532.877,249.426
0.017,532.345,250.355
0.018,531.777,251.288
0.018,531.177,252.224
0.019,530.545,253.163
0.019,529.884,254.104
0.020,529.196,255.045
0.020,528.483,255.988
0.021,527.745,256.932
0.021,526.985,257.876
0.022,526.204,258.820
0.022,525.402,259.765
0.023,524.581,260.710
0.023,523.741,261.656
0.024,522.884,262.603
0.024,522.011,263.550
0.025,521.123,264.497
0.025,520.219,265.445
0.026,519.302,266.394
0.026,518.372,267.344
0.027,517.429,268.294
0.027,516.474,269.246
0.028,515.507,270.198
0.028,514.530,271.152
0.029,513.543,272.106
0.029,512.547,273.062
0.030,511.542,274.018
0.030,510.528,274.976
0.031,509.506,275.935
0.031,508.477,276.895
0.032,507.440,277.857
0.032,506.397,278.819
0.033,505.348,279.783
0.033,504.293,280.748
0.034,503.233,281.714
0.034,502.168,282.682
0.035,501.098,283.650
0.035,500.023,284.620
0.036,498.945,285.591
0.036,497.863,286.563
0.037,496.778,287.536
0.037,495.690,288.510
0.038,494.599,289.485
0.038,493.506,290.461
0.039,492.410,291.438
0.039,491.313,292.416
0.040,490.214,293.395
0.040,489.113,294.374
0.041,488.011,295.355
0.041,486.909,296.336
0.042,485.805,297.317
0.042,484.701,298.299
0.043,483.596,299.282
0.043,482.492,300.265
0.044,481.387,301.248
0.044,480.282,302.231
0.045,479.178,303.215
0.045,478.075,304.199
0.046,476.972,305.183
0.046,475.870,306.167
0.047,474.769,307.151
0.047,473.669,308.135
0.048,472.570,309.119
0.048,471.473,310.103
0.049,470.377,311.086
0.049,469.283,312.068
0.050,468.191,313.050
0.050,467.101,314.032
0.051,466.013,315.013
0.051,464.926,315.993
0.052,463.843,316.973
0.052,462.761,317.951
0.053,461.682,318.929
0.053,460.606,319.906
0.054,459.532,320.881
0.054,458.461,321.855
0.055,457.393,322.828
0.055,456.328,323.800
0.056,455.265,324.770
0.056,454.206,325.739
0.057,453.150,326.707
0.057,452.098,327.672
0.058,451.048,328.636
0.058,450.002,329.598
0.059,448.960,330.559
0.059,447.921,331.517
0.060,446.886,332.474
0.060,445.854,333.428
0.061,444.826,334.380
0.061,443.802,335.330
0.062,442.781,336.278
0.062,441.765,337.224
0.063,440.752,338.167
0.063,439.744,339.107
0.064,438.740,340.045
0.064,437.739,340.981
0.065,436.743,341.913
0.065,435.751,342.843
0.066,434.764,343.771
0.066,433.780,344.695
0.067,432.801,345.616
0.067,431.827,346.535
0.068,430.857,347.450
0.068,429.891,348.362
0.069,428.930,349.271
0.069,427.973,350.177
0.070,427.022,351.080
0.070,426.074,351.979
0.071,425.132,352.875
0.071,424.194,353.767
0.072,423.260,354.656
0.072,422.332,355.542
0.073,421.408,356.423
0.073,420.489,357.301
0.074,419.575,358.176
0.074,418.666,359.046
0.075,417.762,359.913
0.075,416.863,360.776
0.076,415.969,361.635
0.076,415.080,362.490
0.077,414.195,363.341
0.077,413.316,364.188
0.078,412.442,365.031
0.078,411.573,365.870
0.079,410.709,366.704
0.079,409.851,367.535
0.080,408.997,368.361
0.080,408.149,369.183
0.081,407.305,370.000
0.081,406.467,370.814
0.082,405.635,371.622
0.082,404.807,372.427
0.083,403.985,373.227
0.083,403.168,374.022
0.084,402.356,374.813
0.084,401.550,375.599
0.085,400.749,376.381
0.085,399.953,377.158
0.086,399.163,377.930
0.086,398.378,378.698
0.087,397.599,379.461
0.087,396.825,380.219
0.088,396.056,380.972
0.088,395.292,381.721
0.089,394.535,382.465
0.089,393.782,383.204
0.090,393.035,383.938
0.090,392.293,384.667
0.091,391.557,385.392
0.091,390.827,386.111
0.092,390.101,386.825
0.092,389.382,387.535
0.093,388.667,388.239
0.093,387.959,388.939
0.094,387.255,389.633
0.094,386.558,390.322
0.095,385.865,391.007
0.095,385.179,391.686
0.096,384.497,392.360
0.096,383.821,393.029
0.097,383.151,393.693
0.097,382.486,394.352
0.098,381.827,395.005
0.098,381.173,395.654
0.099,380.525,396.297
0.099,379.883,396.935
0.100,379.245,397.568
0.100,378.614,398.196
0.101,377.987,398.819
0.101,377.367,399.436
0.102,376.751,400.048
0.102,376.142,400.655
0.103,375.538,401.257
0.103,374.939,401.853
0.104,374.346,402.445
0.104,373.758,403.031
0.105,373.175,403.612
0.105,372.599,404.187
0.106,372.027,404.758
