time(s),ankle_angle(deg),ankle_velocity(deg/s),body_com_x(m),body_com_y(m),body_com_z(m)
0.044500,1.105223,-0.330082,0.057529,0.000000,0.971779
0.045000,1.105045,-0.355820,0.057537,0.000000,0.971778
0.045500,1.104855,-0.381688,0.057544,0.000000,0.971778
0.046000,1.104651,-0.407665,0.057552,0.000000,0.971777
0.046500,1.104434,-0.433733,0.057560,0.000000,0.971776
0.047000,1.104204,-0.459874,0.057568,0.000000,0.971776
0.047500,1.103961,-0.486071,0.057575,0.000000,0.971775
0.048000,1.103705,-0.512310,0.057583,0.000000,0.971774
0.048500,1.103435,-0.538575,0.057591,0.000000,0.971774
0.049000,1.103153,-0.564851,0.057599,0.000000,0.971773
0.049500,1.102858,-0.590851,0.057607,0.000000,0.971773
0.050000,1.102550,-0.615827,0.057615,0.000000,0.971772
0.050500,1.102230,-0.639811,0.057623,0.000000,0.971772
0.051000,1.101898,-0.662833,0.057631,0.000000,0.971771
0.051500,1.101556,-0.684925,0.057639,0.000000,0.971771
0.052000,1.101203,-0.706116,0.057647,0.000000,0.971770
0.052500,1.100840,-0.726435,0.057655,0.000000,0.971770
0.053000,1.100467,-0.745909,0.057663,0.000000,0.971770
0.053500,1.100084,-0.764566,0.057671,0.000000,0.971769
0.054000,1.099693,-0.782433,0.057679,0.000000,0.971769
0.054500,1.099293,-0.799535,0.057687,0.000000,0.971769
0.055000,1.098885,-0.815898,0.057696,0.000000,0.971768
0.055500,1.098470,-0.831545,0.057704,0.000000,0.971768
0.056000,1.098046,-0.846502,0.057712,0.000000,0.971768
0.056500,1.097616,-0.860789,0.057721,0.000000,0.971767
0.057000,1.097179,-0.874431,0.057729,0.000000,0.971767
0.057500,1.096735,-0.887449,0.057737,0.000000,0.971767
0.058000,1.096285,-0.899864,0.057746,0.000000,0.971767
0.058500,1.095829,-0.911697,0.057754,0.000000,0.971766
0.059000,1.095368,-0.922968,0.057763,0.000000,0.971766
0.059500,1.094901,-0.933695,0.057771,0.000000,0.971766
0.060000,1.094429,-0.943899,0.057779,0.000000,0.971766
0.060500,1.093952,-0.953597,0.057788,0.000000,0.971766
0.061000,1.093471,-0.962808,0.057797,0.000000,0.971766
0.061500,1.092985,-0.971547,0.057805,0.000000,0.971765
0.062000,1.092495,-0.979833,0.057814,0.000000,0.971765
0.062500,1.092001,-0.987682,0.057822,0.000000,0.971765
0.063000,1.091504,-0.995108,0.057831,0.000000,0.971765
0.063500,1.091003,-1.002128,0.057840,0.000000,0.971765
0.064000,1.090498,-1.008757,0.057848,0.000000,0.971765
0.064500,1.089991,-1.015008,0.057857,0.000000,0.971765
0.065000,1.089480,-1.020896,0.057866,0.000000,0.971765
0.065500,1.088967,-1.026434,0.057875,0.000000,0.971764
0.066000,1.088451,-1.031635,0.057883,0.000000,0.971764
0.066500,1.087933,-1.036512,0.057892,0.000000,0.971764
0.067000,1.087413,-1.041077,0.057901,0.000000,0.971764
0.067500,1.086890,-1.045343,0.057910,0.000000,0.971764
0.068000,1.086365,-1.049320,0.057919,0.000000,0.971764
0.068500,1.085839,-1.053019,0.057928,0.000000,0.971764
0.069000,1.085310,-1.056453,0.057937,0.000000,0.971764
0.069500,1.084781,-1.059630,0.057946,0.000000,0.971764
0.070000,1.084249,-1.062561,0.057955,0.000000,0.971764
0.070500,1.083717,-1.065256,0.057964,0.000000,0.971764
0.071000,1.083183,-1.067768,0.057973,0.000000,0.971764
0.071500,1.082648,-1.070252,0.057982,0.000000,0.971764
0.072000,1.082111,-1.072708,0.057991,0.000000,0.971764
0.072500,1.081574,-1.075137,0.058000,0.000000,0.971764
0.073000,1.081035,-1.077541,0.058009,0.000000,0.971764
0.073500,1.080495,-1.079921,0.058018,0.000000,0.971764
0.074000,1.079954,-1.082276,0.058027,0.000000,0.971764
0.074500,1.079412,-1.084609,0.058036,0.000000,0.971764
0.075000,1.078868,-1.086920,0.058045,0.000000,0.971764
0.075500,1.078324,-1.089210,0.058054,0.000000,0.971764
0.076000,1.077778,-1.091480,0.058063,0.000000,0.971764
0.076500,1.077231,-1.093730,0.058073,0.000000,0.971764
0.077000,1.076683,-1.095961,0.058082,0.000000,0.971764
0.077500,1.076134,-1.098173,0.058091,0.000000,0.971764
0.078000,1.075584,-1.100368,0.058100,0.000000,0.971764
0.078500,1.075032,-1.102546,0.058110,0.000000,0.971764
0.079000,1.074480,-1.104708,0.058119,0.000000,0.971764
0.079500,1.073927,-1.106853,0.058128,0.000000,0.971764
0.080000,1.073372,-1.108983,0.058137,0.000000,0.971764
0.080500,1.072817,-1.111098,0.058147,0.000000,0.971764
0.081000,1.072260,-1.113198,0.058156,0.000000,0.971764
0.081500,1.071702,-1.115284,0.058166,0.000000,0.971764
0.082000,1.071144,-1.117356,0.058175,0.000000,0.971765
0.082500,1.070584,-1.119415,0.058184,0.000000,0.971765
0.083000,1.070023,-1.121462,0.058194,0.000000,0.971765
0.083500,1.069461,-1.123495,0.058203,0.000000,0.971765
0.084000,1.068899,-1.125516,0.058213,0.000000,0.971765
0.084500,1.068335,-1.127525,0.058222,0.000000,0.971765
0.085000,1.067770,-1.129523,0.058232,0.000000,0.971765
0.085500,1.067204,-1.131509,0.058241,0.000000,0.971765
0.086000,1.066638,-1.133484,0.058251,0.000000,0.971765
0.086500,1.066070,-1.135447,0.058260,0.000000,0.971765
0.087000,1.065501,-1.137401,0.058270,0.000000,0.971765
0.087500,1.064932,-1.139344,0.058279,0.000000,0.971765
0.088000,1.064361,-1.141276,0.058289,0.000000,0.971765
0.088500,1.063789,-1.143199,0.058298,0.000000,0.971766
0.089000,1.063217,-1.145112,0.058308,0.000000,0.971766
0.089500,1.062643,-1.147015,0.058318,0.000000,0.971766
0.090000,1.062069,-1.148908,0.058327,0.000000,0.971766
0.090500,1.061493,-1.150793,0.058337,0.000000,0.971766
0.091000,1.060917,-1.152668,0.058347,0.000000,0.971766
0.091500,1.060340,-1.154534,0.058356,0.000000,0.971766
0.092000,1.059762,-1.156391,0.058366,0.000000,0.971766
0.092500,1.059183,-1.158240,0.058376,0.000000,0.971766
0.093000,1.058603,-1.160080,0.058386,0.000000,0.971766
0.093500,1.058022,-1.161911,0.058395,0.000000,0.971767
0.094000,1.057440,-1.163734,0.058405,0.000000,0.971767
0.094500,1.056857,-1.165549,0.058415,0.000000,0.971767
0.095000,1.056273,-1.167356,0.058425,0.000000,0.971767
0.095500,1.055689,-1.169154,0.058434,0.000000,0.971767
0.096000,1.055103,-1.170944,0.058444,0.000000,0.971767
0.096500,1.054517,-1.172727,0.058454,0.000000,0.971767
0.097000,1.053930,-1.174501,0.058464,0.000000,0.971767
0.097500,1.053341,-1.176268,0.058474,0.000000,0.971768
0.098000,1.052752,-1.178027,0.058484,0.000000,0.971768
0.098500,1.052163,-1.179779,0.058494,0.000000,0.971768
0.099000,1.051572,-1.181523,0.058504,0.000000,0.971768
0.099500,1.050980,-1.183259,0.058513,0.000000,0.971768
0.100000,1.050388,-1.184988,0.058523,0.000000,0.971768
0.100500,1.049794,-1.186709,0.058533,0.000000,0.971768
0.101000,1.049200,-1.188423,0.058543,0.000000,0.971768
0.101500,1.048605,-1.190130,0.058553,0.000000,0.971769
0.102000,1.048009,-1.191830,0.058563,0.000000,0.971769
0.102500,1.047412,-1.193522,0.058573,0.000000,0.971769
0.103000,1.046815,-1.195207,0.058583,0.000000,0.971769
0.103500,1.046216,-1.196885,0.058593,0.000000,0.971769
0.104000,1.045617,-1.198556,0.058603,0.000000,0.971769
0.104500,1.045017,-1.200219,0.058614,0.000000,0.971769
0.105000,1.044416,-1.201876,0.058624,0.000000,0.971769
0.105500,1.043814,-1.203525,0.058634,0.000000,0.971770
0.106000,1.043212,-1.205168,0.058644,0.000000,0.971770
0.106500,1.042608,-1.206803,0.058654,0.000000,0.971770
0.107000,1.042004,-1.208432,0.058664,0.000000,0.971770
0.107500,1.041399,-1.210054,0.058674,0.000000,0.971770
0.108000,1.040793,-1.211668,0.058684,0.000000,0.971770
0.108500,1.040187,-1.213276,0.058695,0.000000,0.971770
0.109000,1.039579,-1.214877,0.058705,0.000000,0.971771
0.109500,1.038971,-1.216471,0.058715,0.000000,0.971771
0.110000,1.038362,-1.218059,0.058725,0.000000,0.971771
0.110500,1.037752,-1.219639,0.058735,0.000000,0.971771
0.111000,1.037141,-1.221213,0.058746,0.000000,0.971771
0.111500,1.036530,-1.222779,0.058756,0.000000,0.971771
0.112000,1.035918,-1.224339,0.058766,0.000000,0.971771
0.112500,1.035305,-1.225893,0.058776,0.000000,0.971772
0.113000,1.034691,-1.227439,0.058787,0.000000,0.971772
0.113500,1.034077,-1.228979,0.058797,0.000000,0.971772
0.114000,1.033461,-1.230512,0.058807,0.000000,0.971772
0.114500,1.032845,-1.232038,0.058818,0.000000,0.971772
0.115000,1.032229,-1.233558,0.058828,0.000000,0.971772
0.115500,1.031611,-1.235070,0.058838,0.000000,0.971772
0.116000,1.030993,-1.236577,0.058849,0.000000,0.971773
0.116500,1.030374,-1.238076,0.058859,0.000000,0.971773
0.117000,1.029754,-1.239569,0.058870,0.000000,0.971773
0.117500,1.029133,-1.241055,0.058880,0.000000,0.971773
0.118000,1.028512,-1.242534,0.058890,0.000000,0.971773
0.118500,1.027890,-1.244007,0.058901,0.000000,0.971773
0.119000,1.027267,-1.245473,0.058911,0.000000,0.971774
0.119500,1.026644,-1.246932,0.058922,0.000000,0.971774
0.120000,1.026020,-1.248385,0.058932,0.000000,0.971774
0.120500,1.025395,-1.249831,0.058943,0.000000,0.971774
0.121000,1.024769,-1.251271,0.058953,0.000000,0.971774
0.121500,1.024143,-1.252703,0.058964,0.000000,0.971774
0.122000,1.023516,-1.254130,0.058974,0.000000,0.971774
0.122500,1.022888,-1.255549,0.058985,0.000000,0.971775
0.123000,1.022260,-1.256962,0.058995,0.000000,0.971775
0.123500,1.021630,-1.258369,0.059006,0.000000,0.971775
0.124000,1.021000,-1.259768,0.059016,0.000000,0.971775
0.124500,1.020370,-1.261162,0.059027,0.000000,0.971775
0.125000,1.019739,-1.262548,0.059037,0.000000,0.971775
0.125500,1.019107,-1.263928,0.059048,0.000000,0.971776
0.126000,1.018474,-1.265301,0.059059,0.000000,0.971776
0.126500,1.017841,-1.266668,0.059069,0.000000,0.971776
0.127000,1.017207,-1.268028,0.059080,0.000000,0.971776
0.127500,1.016572,-1.269382,0.059090,0.000000,0.971776
0.128000,1.015937,-1.270729,0.059101,0.000000,0.971776
0.128500,1.015301,-1.272070,0.059112,0.000000,0.971777
0.129000,1.014664,-1.273404,0.059122,0.000000,0.971777
0.129500,1.014027,-1.274731,0.059133,0.000000,0.971777
0.130000,1.013388,-1.276052,0.059144,0.000000,0.971777
0.130500,1.012750,-1.277366,0.059154,0.000000,0.971777
0.131000,1.012110,-1.278674,0.059165,0.000000,0.971777
0.131500,1.011470,-1.279975,0.059176,0.000000,0.971777
0.132000,1.010830,-1.281270,0.059187,0.000000,0.971778
0.132500,1.010189,-1.282558,0.059197,0.000000,0.971778
0.133000,1.009547,-1.283840,0.059208,0.000000,0.971778
0.133500,1.008904,-1.285115,0.059219,0.000000,0.971778
0.134000,1.008261,-1.286383,0.059229,0.000000,0.971778
0.134500,1.007617,-1.287645,0.059240,0.000000,0.971778
0.135000,1.006973,-1.288901,0.059251,0.000000,0.971779
0.135500,1.006328,-1.290150,0.059262,0.000000,0.971779
0.136000,1.005682,-1.291392,0.059273,0.000000,0.971779
0.136500,1.005036,-1.292629,0.059283,0.000000,0.971779
0.137000,1.004389,-1.293858,0.059294,0.000000,0.971779
0.137500,1.003741,-1.295081,0.059305,0.000000,0.971779
0.138000,1.003093,-1.296298,0.059316,0.000000,0.971780
0.138500,1.002444,-1.297508,0.059327,0.000000,0.971780
0.139000,1.001795,-1.298712,0.059338,0.000000,0.971780
